2025-07-01 09:59:44 status unpacked libnsl2:arm64 1.3.0-2
2025-07-01 09:59:44 install libtirpc-dev:arm64 <none> 1.3.3+ds-1
2025-07-01 09:59:44 status half-installed libtirpc-dev:arm64 1.3.3+ds-1
2025-07-01 09:59:44 status unpacked libtirpc-dev:arm64 1.3.3+ds-1
2025-07-01 09:59:44 install libnsl-dev:arm64 <none> 1.3.0-2
2025-07-01 09:59:44 status half-installed libnsl-dev:arm64 1.3.0-2
2025-07-01 09:59:44 status unpacked libnsl-dev:arm64 1.3.0-2
2025-07-01 09:59:44 install rpcsvc-proto:arm64 <none> 1.4.3-1
2025-07-01 09:59:44 status half-installed rpcsvc-proto:arm64 1.4.3-1
2025-07-01 09:59:44 status unpacked rpcsvc-proto:arm64 1.4.3-1
2025-07-01 09:59:44 install libc6-dev:arm64 <none> 2.36-9+deb12u10
2025-07-01 09:59:44 status half-installed libc6-dev:arm64 2.36-9+deb12u10
2025-07-01 09:59:44 status unpacked libc6-dev:arm64 2.36-9+deb12u10
2025-07-01 09:59:44 install libbluetooth-dev:arm64 <none> 5.66-1+deb12u2
2025-07-01 09:59:44 status half-installed libbluetooth-dev:arm64 5.66-1+deb12u2
2025-07-01 09:59:44 status unpacked libbluetooth-dev:arm64 5.66-1+deb12u2
2025-07-01 09:59:44 install libbrotli1:arm64 <none> 1.0.9-2+b6
2025-07-01 09:59:44 status half-installed libbrotli1:arm64 1.0.9-2+b6
2025-07-01 09:59:44 status unpacked libbrotli1:arm64 1.0.9-2+b6
2025-07-01 09:59:44 install libbrotli-dev:arm64 <none> 1.0.9-2+b6
2025-07-01 09:59:44 status half-installed libbrotli-dev:arm64 1.0.9-2+b6
2025-07-01 09:59:44 status unpacked libbrotli-dev:arm64 1.0.9-2+b6
2025-07-01 09:59:44 install libbsd0:arm64 <none> 0.11.7-2
2025-07-01 09:59:44 status half-installed libbsd0:arm64 0.11.7-2
2025-07-01 09:59:45 status unpacked libbsd0:arm64 0.11.7-2
2025-07-01 09:59:45 install libbz2-dev:arm64 <none> 1.0.8-5+b1
2025-07-01 09:59:45 status half-installed libbz2-dev:arm64 1.0.8-5+b1
2025-07-01 09:59:45 status unpacked libbz2-dev:arm64 1.0.8-5+b1
2025-07-01 09:59:45 install libdb5.3-dev:arm64 <none> 5.3.28+dfsg2-1
2025-07-01 09:59:45 status half-installed libdb5.3-dev:arm64 5.3.28+dfsg2-1
2025-07-01 09:59:45 status unpacked libdb5.3-dev:arm64 5.3.28+dfsg2-1
2025-07-01 09:59:45 install libdb-dev:arm64 <none> 5.3.2
